Heart,Intervention,NumClips,Pressure,FlowRate,Pin,Force,ForceDifference,PressureDifference,FlowDifference,ClipOrder,Treatment,AnnularArea,AnnularPerimeter,SLDiameter,APDiameter,CoaptationGapArea,Leaflet,LeafletArea,LeafletPerimeter,LeafletHeight,LeafletWidth
9,Control,0,37.1532725856334,53.8158891273849,1,-0.230604864267903,0,0,0,None,0,1245.47910674011,128.276217482125,36.1863631338837,35.9958204482913,8.90910898874361,Septal,479.842713755028,109.64837727656,16.0477358792885,31.4964723415922
9,Control,0,37.1532725856334,53.8158891273849,1,-0.230604864267903,0,0,0,None,0,1245.47910674011,128.276217482125,36.1863631338837,35.9958204482913,8.90910898874361,Anterior,646.713270206915,130.142666812052,19.8562226397391,26.3105886255627
9,Control,0,37.1532725856334,53.8158891273849,1,-0.230604864267903,0,0,0,None,0,1245.47910674011,128.276217482125,36.1863631338837,35.9958204482913,8.90910898874361,Posterior,597.062820620882,122.127040644436,22.6891480592457,19.8633828041872
9,Control,0,37.1532725856334,53.8158891273849,2,0.104113608865161,0,0,0,None,0,1245.47910674011,128.276217482125,36.1863631338837,35.9958204482913,8.90910898874361,Septal,479.842713755028,109.64837727656,16.0477358792885,31.4964723415922
9,Control,0,37.1532725856334,53.8158891273849,2,0.104113608865161,0,0,0,None,0,1245.47910674011,128.276217482125,36.1863631338837,35.9958204482913,8.90910898874361,Anterior,646.713270206915,130.142666812052,19.8562226397391,26.3105886255627
9,Control,0,37.1532725856334,53.8158891273849,2,0.104113608865161,0,0,0,None,0,1245.47910674011,128.276217482125,36.1863631338837,35.9958204482913,8.90910898874361,Posterior,597.062820620882,122.127040644436,22.6891480592457,19.8633828041872
9,Control,0,37.1532725856334,53.8158891273849,3,-0.102010114748979,0,0,0,None,0,1245.47910674011,128.276217482125,36.1863631338837,35.9958204482913,8.90910898874361,Septal,479.842713755028,109.64837727656,16.0477358792885,31.4964723415922
9,Control,0,37.1532725856334,53.8158891273849,3,-0.102010114748979,0,0,0,None,0,1245.47910674011,128.276217482125,36.1863631338837,35.9958204482913,8.90910898874361,Anterior,646.713270206915,130.142666812052,19.8562226397391,26.3105886255627
9,Control,0,37.1532725856334,53.8158891273849,3,-0.102010114748979,0,0,0,None,0,1245.47910674011,128.276217482125,36.1863631338837,35.9958204482913,8.90910898874361,Posterior,597.062820620882,122.127040644436,22.6891480592457,19.8633828041872
9,Control,0,37.1532725856334,53.8158891273849,4,-0.290688220491775,0,0,0,None,0,1245.47910674011,128.276217482125,36.1863631338837,35.9958204482913,8.90910898874361,Septal,479.842713755028,109.64837727656,16.0477358792885,31.4964723415922
9,Control,0,37.1532725856334,53.8158891273849,4,-0.290688220491775,0,0,0,None,0,1245.47910674011,128.276217482125,36.1863631338837,35.9958204482913,8.90910898874361,Anterior,646.713270206915,130.142666812052,19.8562226397391,26.3105886255627
