Heart,Intervention,NumClips,Pressure,FlowRate,Pin,Force,ForceDifference,PressureDifference,FlowDifference,ClipOrder,Treatment,AnnularArea,AnnularPerimeter,SLDiameter,APDiameter,CoaptationGapArea
1,Control,0,32.9923294754551,49.3303162742025,1,-0.18963770290247,0,0,0,None,0,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
1,Control,0,32.9923294754551,49.3303162742025,2,-0.14586118214613,0,0,0,None,0,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
1,Control,0,32.9923294754551,49.3303162742025,3,0.0926456906390821,0,0,0,None,0,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
1,Control,0,32.9923294754551,49.3303162742025,4,-0.043769285428602,0,0,0,None,0,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
1,Control,0,32.9923294754551,49.3303162742025,5,-0.135953231552507,0,0,0,None,0,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
1,Control,0,32.9923294754551,49.3303162742025,6,-0.184386614812556,0,0,0,None,0,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
1,Control,0,32.9923294754551,49.3303162742025,7,0.408305865514616,0,0,0,None,0,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
1,Control,0,32.9923294754551,49.3303162742025,8,0.0679121851708343,0,0,0,None,0,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
2,Control,0,36.0996624246315,51.1271309867417,1,-0.416406413039952,0,0,0,None,0,1296.52499450314,129.134323628768,38.6977268971355,40.6368786595062,9.15611233136835
2,Control,0,36.0996624246315,51.1271309867417,2,-0.154516904278327,0,0,0,None,0,1296.52499450314,129.134323628768,38.6977268971355,40.6368786595062,9.15611233136835
2,Control,0,36.0996624246315,51.1271309867417,3,-0.0452443560941121,0,0,0,None,0,1296.52499450314,129.134323628768,38.6977268971355,40.6368786595062,9.15611233136835
2,Control,0,36.0996624246315,51.1271309867417,4,-0.0658523923218491,0,0,0,None,0,1296.52499450314,129.134323628768,38.6977268971355,40.6368786595062,9.15611233136835
2,Control,0,36.0996624246315,51.1271309867417,5,-0.28621680980026,0,0,0,None,0,1296.52499450314,129.134323628768,38.6977268971355,40.6368786595062,9.15611233136835
2,Control,0,36.0996624246315,51.1271309867417,6,-0.185147926578832,0,0,0,None,0,1296.52499450314,129.134323628768,38.6977268971355,40.6368786595062,9.15611233136835
2,Control,0,36.0996624246315,51.1271309867417,7,-0.132045568259223,0,0,0,None,0,1296.52499450314,129.134323628768,38.6977268971355,40.6368786595062,9.15611233136835
2,Control,0,36.0996624246315,51.1271309867417,8,0.118471740157109,0,0,0,None,0,1296.52499450314,129.134323628768,38.6977268971355,40.6368786595062,9.15611233136835
3,Control,0,36.7018432784289,54.4807015333825,1,-0.256314962885613,0,0,0,None,0,1561.93054511574,144.081583790869,42.8161267807928,37.2176730177185,23.7044537210663
3,Control,0,36.7018432784289,54.4807015333825,2,-0.0520677922405418,0,0,0,None,0,1561.93054511574,144.081583790869,42.8161267807928,37.2176730177185,23.7044537210663
3,Control,0,36.7018432784289,54.4807015333825,3,0.012039103427689,0,0,0,None,0,1561.93054511574,144.081583790869,42.8161267807928,37.2176730177185,23.7044537210663
3,Control,0,36.7018432784289,54.4807015333825,4,-0.0507378046733047,0,0,0,None,0,1561.93054511574,144.081583790869,42.8161267807928,37.2176730177185,23.7044537210663
3,Control,0,36.7018432784289,54.4807015333825,5,-0.197999869192025,0,0,0,None,0,1561.93054511574,144.081583790869,42.8161267807928,37.2176730177185,23.7044537210663
3,Control,0,36.7018432784289,54.4807015333825,6,-0.0412569726502158,0,0,0,None,0,1561.93054511574,144.081583790869,42.8161267807928,37.2176730177185,23.7044537210663
