Heart,Intervention,NumClips,Pressure,FlowRate,Pin,Force,ForceDifference,PressureDifference,FlowDifference,ClipOrder,Treatment,ReplicateTestNum,AnnularArea,AnnularPerimeter,SLDiameter,APDiameter,CoaptationGapArea
1,Control,0,32.6280529039535,50.098111888062,1,-0.186846175074593,0.00279152782787712,-0.364276571501613,0.767795613859541,None,0,1,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
1,Control,0,33.3191382058209,49.42730136,1,-0.198549089577817,-0.00891138667534708,0.326808730365791,0.0969850857975061,None,0,2,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
1,Control,0,33.0297973165909,48.4655355745454,1,-0.183517844055,0.00611985884747004,0.0374678411358076,-0.864780699657047,None,0,3,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
1,Control,0,32.6280529039535,50.098111888062,2,-0.140020558542726,0.00584062360340432,-0.364276571501613,0.767795613859541,None,0,1,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
1,Control,0,33.3191382058209,49.42730136,2,-0.150995505773364,-0.00513432362723426,0.326808730365791,0.0969850857975061,None,0,2,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
1,Control,0,33.0297973165909,48.4655355745454,2,-0.1465674821223,-0.000706299976170083,0.0374678411358076,-0.864780699657047,None,0,3,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
1,Control,0,32.6280529039535,50.098111888062,3,0.0955525862111418,0.00290689557205966,-0.364276571501613,0.767795613859541,None,0,1,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
1,Control,0,33.3191382058209,49.42730136,3,0.0863236781217046,-0.00632201251737757,0.326808730365791,0.0969850857975061,None,0,2,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
1,Control,0,33.0297973165909,48.4655355745454,3,0.0960608075844,0.0034151169453179,0.0374678411358076,-0.864780699657047,None,0,3,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
1,Control,0,32.6280529039535,50.098111888062,4,-0.0406575532533626,0.00311173217523936,-0.364276571501613,0.767795613859541,None,0,1,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
1,Control,0,33.3191382058209,49.42730136,4,-0.0483796237538684,-0.00461033832526644,0.326808730365791,0.0969850857975061,None,0,2,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
1,Control,0,33.0297973165909,48.4655355745454,4,-0.0422706792785749,0.00149860615002707,0.0374678411358076,-0.864780699657047,None,0,3,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
